actual_0,actual_1,actual_2,actual_3,actual_4,actual_5,actual_6,actual_7,actual_8,actual_9,actual_10,actual_11,actual_12,actual_13,actual_14,actual_15,target_0,target_1,target_2,target_3,target_4,target_5,target_6,target_7,target_8,target_9,target_10,target_11,target_12,target_13,target_14,target_15,wheel_contact_0,wheel_contact_1,wheel_contact_2,wheel_contact_3,wheel_contact_4,wheel_contact_5,wheel_contact_6,wheel_contact_7
1.8343604321623288e-05,1.8343604321622844e-05,2.320383536261161e-06,2.320383536264139e-06,2.87190747878113e-05,2.871907478781193e-05,-2.2140670344645476e-05,-2.2140670344641078e-05,-0.008892626736832238,-0.008947503090280926,-0.008892626736838175,-0.008947503090276438,0.01825616978434311,0.01815491332525286,0.018256169784339776,0.018154913325254027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1
2.76901963592281e-05,2.769019635922802e-05,1.5236747461425834e-06,1.5236747461462875e-06,4.3072854908165944e-05,4.307285490816688e-05,-3.1467171454297776e-05,-3.1467171454291874e-05,-0.008456150153670803,-0.008510762308796382,-0.008456150153676121,-0.008510762308792592,0.01579550836921118,0.015704249517944788,0.015795508369208122,0.01570424951794537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1
2.9847658001190187e-05,2.98476580011781e-05,-1.2784195309614659e-06,-1.278419530969646e-06,4.611439401172957e-05,4.611439401174053e-05,-3.115717061117637e-05,-3.1157170611159464e-05,-0.0037630794283928116,-0.0037933489096139998,-0.0037630794284166475,-0.0037933489096304658,0.004188740313997959,0.00415373925590753,0.004188740313975977,0.004153739255887783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1
2.2905788978955544e-05,2.290578897893612e-05,-5.002763506224919e-06,-5.002763506240166e-06,3.546524975132173e-05,3.546524975133799e-05,-2.044420907553645e-05,-2.04442090755133e-05,0.0025648290678741744,0.0025836051170971125,0.002564829067853776,0.0025836051170820256,-0.01068479263135681,-0.01061636626908513,-0.010684792631376219,-0.010616366269102846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1
1.836256849711922e-05,1.836256849709536e-05,-6.897916103158726e-06,-6.897916103178215e-06,2.94960431204928e-05,2.9496043120511465e-05,-1.4866799827718423e-05,-1.4866799827692385e-05,0.001575142494525522,0.0015890731116909658,0.001575142494510425,0.001589073111679791,-0.007752724552671496,-0.007701956606469936,-0.00775272455268587,-0.007701956606483054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1.5406744444577002e-05,1.5406744444550436e-05,-7.851107574717866e-06,-7.851107574739936e-06,2.6114545514613294e-05,2.6114545514632935e-05,-1.197495603030148e-05,-1.1974956030274209e-05,0.0009757101244058044,0.00098604574359303,0.000975710124394589,0.0009860457435847247,-0.005658576243872471,-0.005620909703142281,-0.005658576243883135,-0.005620909703152014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1.3490325994749581e-05,1.3490325994721353e-05,-8.322725629453792e-06,-8.322725629477445e-06,2.4171521306538687e-05,2.4171521306558626e-05,-1.0482759630230468e-05,-1.0482759630202786e-05,0.0006096500994986764,0.0006173184621214381,0.0006096500994903376,0.0006173184621152583,-0.004148242061754121,-0.004120295918631721,-0.004148242061762031,-0.004120295918638952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1.2248902028279068e-05,1.224890202824982e-05,-8.549951207840385e-06,-8.549951207865013e-06,2.3032720695897216e-05,2.3032720695917135e-05,-9.716412967130478e-06,-9.716412967102748e-06,0.0003842658160979018,0.00038995524643089185,0.0003842658160916611,0.00038995524642626805,-0.003050911819279451,-0.0030301775840595865,-0.0030509118192853218,-0.003030177584064963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1.1442966745017276e-05,1.1442966744987408e-05,-8.653926231345745e-06,-8.653926231370988e-06,2.234630397502502e-05,2.2346303975044784e-05,-9.32371465493779e-06,-9.323714654910174e-06,0.00024435421877932225,0.00024857540902643676,0.00024435421877467927,0.00024857540902295517,-0.002249248363806872,-0.002233864898966283,-0.0022492483638112217,-0.0022338648989702814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1.0916520482949144e-05,1.0916520482918892e-05,-8.695910380671477e-06,-8.695910380697122e-06,2.1916009965547544e-05,2.1916009965567107e-05,-9.121217186680498e-06,-9.121217186653051e-06,0.00015678379417276384,0.0001599156450012492,0.00015678379416930982,0.0001599156449986567,-0.0016611880395680863,-0.0016497745011379683,-0.0016611880395713237,-0.0016497745011409617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
